Audio / Video,Show,Tour,Date,Matinée / Evening,Master,Cast,Master Notes,Trading Notes,NFT Date,NFT Forever,Not For Sale,Type,Release Format,Amount Recorded,Venue,City,Link
Video,The Last Five Years,London Palladium,"Mar, 2026 (1)",Unknown,Lasagna,"Ben Platt (Jamie Wellerstein), Rachel Zegler (Cathy Hiatt)","An amazing, Full show capture of this amazing Concert at Rachel Zegler’s favourite place! (London Palladium if you couldn’t tell)Light obstruction on the far left which misses a tiny but of action! Only To Be Sold/Traded As One (Both (1) and (2))",Not Applicable,2027-08-01,Not Applicable,Not Applicable,Bootleg,MP4 (4K),Full Show,Not Applicable,Not Applicable,https://encora.it/recordings/2031463/
Video,The Last Five Years,London Palladium,"Mar, 2026 (2)",Unknown,Lasagna,"Ben Platt (Jamie Wellerstein), Rachel Zegler (Cathy Hiatt)","This was a…capture. More so a hail-mary capture if you would, definitely didn’t help since I was in a heavily obstructed seat. But, you know what. I surprisingly made it work! Only to be Traded/Sold As one! (Both [1] and [2])",Not Applicable,2027-08-01,Not Applicable,Not Applicable,Bootleg,MP4 (4K),Full Show,Not Applicable,Not Applicable,https://encora.it/recordings/2031464/
Video,Three Houses,Off-Broadway,"Jun, 2024",Unknown,catherinewasamassivec,"Margo Seibert (Susan), Mia Pak (Sadie), Ching Valdes-Aran (Grandmother), Henry Stram (Grandfather), Scott Stangland (Wolf)","<p>It was dark, the space was tiny, and heads were in the way – I did my best under the circumstances. (My best does get substantially better ~30 mins in.)</p>",Not Applicable,2024-12-18,Not Applicable,Not Applicable,Bootleg,Not Applicable,Full Show,Pershing Square Signature Center,"New York, NY",https://encora.it/recordings/2001389/
Video,Three Houses,Off-Broadway,"Jun 5, 2024",Evening,pixies992,"Margo Seibert (Susan), Mia Pak (Sadie), J.D. Mollison (Beckett), Ching Valdes-Aran (Grandmother), Henry Stram (Grandfather), Scott Stangland (Wolf)",Not Applicable,Shot vertically on a phone camera with decent coverage. There are some moments of obstruction throughout but the audio quality is decent! ,Not Applicable,Not Applicable,Not Applicable,Bootleg,MOV,Full Show,Pershing Square Signature Center,"New York, NY",https://encora.it/recordings/2010961/
Video,Wicked,Broadway,"Oct 11, 2003",Evening,Pigerty,"Idina Menzel (Elphaba), Kristin Chenoweth (Glinda), Norbert Leo Butz (Fiyero), Joel Grey (The Wizard), Carole Shelley (Madame Morrible), Michelle Federer (Nessarose), Christopher Fitzgerald (Boq), William Youmans (Doctor Dillamond)",Not Applicable,"Filmed from the 4th row. Sometimes unfocuses from the action but there are great close-ups. No video of the flying scene, as the last 10 minutes of Act 1 are audio only. B
DVD circulates in multiple copies, the most common of which is 4.01 GB. These, however, have intense generation loss. The first generation DVD is 3.91 GB, and this is where the screenshots below come from.",Not Applicable,Not Applicable,Not Applicable,Bootleg,VOB (with smalls) (SD) - 3.91 GB (first generaron disc),Full Show,Gershwin Theatre,"New York, NY",https://encora.it/recordings/70/
